LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-01,100.3446,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-02,100.5939,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-03,100.7522,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-04,100.7716,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-05,100.8098,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-06,100.8255,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-07,100.7092,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-08,100.5609,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-09,100.513,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-10,100.5401,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-11,100.5068,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2014-12,100.4796,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-01,100.4675,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-02,100.5106,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-03,100.6154,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-04,100.6653,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-05,100.7781,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-06,100.902,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-07,100.9486,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-08,101.0087,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-09,101.0431,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-10,101.0538,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-11,101.0809,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2015-12,101.0063,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-01,100.789,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-02,100.5238,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-03,100.3203,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-04,100.2749,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-05,100.3359,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-06,100.4562,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-07,100.4866,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-08,100.5944,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-09,100.8478,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-10,101.1083,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-11,101.2547,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2016-12,101.3382,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-01,101.4061,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-02,101.5097,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-03,101.5445,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-04,101.5011,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-05,101.4142,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.4688,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.6083,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-08,101.6811,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-09,101.6706,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-10,101.6681,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.6377,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.6489,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.6304,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2018-02,101.6053,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2018-03,101.586,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2018-04,101.5382,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2018-05,101.4764,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2018-06,101.4667,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2018-07,101.4717,
