country,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,generosity,trust,lat,lng,alcohol_per_year
Finland,1,7.769,1.34000,1.58700,0.98600,0.59600,0.15300,0.39300,61.924110,25.748151,14.8
Denmark,2,7.600,1.38300,1.57300,0.99600,0.59200,0.25200,0.41000,56.263920,9.501785,13.9
Norway,3,7.554,1.48800,1.58200,1.02800,0.60300,0.27100,0.34100,60.472024,8.468946,9.4
Spain,30,6.354,1.28600,1.48400,1.06200,0.36200,0.15300,0.07900,40.463667,-3.749220,14.6
Panama,31,6.321,1.14900,1.44200,0.91000,0.51600,0.10900,0.05400,8.537981,-80.782127,16.5
Brazil,32,6.300,1.00400,1.43900,0.80200,0.39000,0.09900,0.08600,-14.235004,-51.925280,19.3
Uruguay,33,6.293,1.12400,1.46500,0.89100,0.52300,0.12700,0.15000,-32.522779,-55.765835,15.7
Singapore,34,6.262,1.57200,1.46300,1.14100,0.55600,0.27100,0.45300,1.352083,103.819836,2.9
El Salvador,35,6.253,0.79400,1.24200,0.78900,0.43000,0.09300,0.07400,13.794185,-88.896530,12.8
Italy,36,6.223,1.29400,1.48800,1.03900,0.23100,0.15800,0.03000,41.871940,12.567380,12.0
Bahrain,37,6.199,1.36200,1.36800,0.87100,0.53600,0.25500,0.11000,25.930414,50.637772,22.1
Slovakia,38,6.198,1.24600,1.50400,0.88100,0.33400,0.12100,0.01400,48.669026,19.699024,16.6
Poland,40,6.182,1.20600,1.43800,0.88400,0.48300,0.11700,0.05000,51.919438,19.145136,17.1
Uzbekistan,41,6.174,0.74500,1.52900,0.75600,0.63100,0.32200,0.24000,41.377491,64.585262,12.8
Lithuania,42,6.149,1.23800,1.51500,0.81800,0.29100,0.04300,0.04200,55.169438,23.881275,18.9
Colombia,43,6.125,0.98500,1.41000,0.84100,0.47000,0.09900,0.03400,4.570868,-74.297333,15.2
Slovenia,44,6.118,1.25800,1.52300,0.95300,0.56400,0.14400,0.05700,46.151241,14.995463,17.7
Nicaragua,45,6.105,0.69400,1.32500,0.83500,0.43500,0.20000,0.12700,12.865416,-85.207229,15.9
Kosovo,46,6.100,0.88200,1.23200,0.75800,0.48900,0.26200,0.00600,42.602636,20.902977,
Argentina,47,6.086,1.09200,1.43200,0.88100,0.47100,0.06600,0.05000,-38.416097,-63.616672,14.6
Romania,48,6.070,1.16200,1.23200,0.82500,0.46200,0.08300,0.00500,45.943161,24.966760,18.8
Cyprus,49,6.046,1.26300,1.22300,1.04200,0.40600,0.19000,0.04100,35.126413,33.429859,15.6
Ecuador,50,6.028,0.91200,1.31200,0.86800,0.49800,0.12600,0.08700,-1.831239,-78.183406,9.5
Kuwait,51,6.021,1.50000,1.31900,0.80800,0.49300,0.14200,0.09700,29.311660,47.481766,1.0
Thailand,52,6.008,1.05000,1.40900,0.82800,0.55700,0.35900,0.02800,15.870032,100.992541,20.3
Latvia,53,5.940,1.18700,1.46500,0.81200,0.26400,0.07500,0.06400,56.879635,24.603189,17.2
South Korea,54,5.895,1.30100,1.21900,1.03600,0.15900,0.17500,0.05600,35.907757,127.766922,16.0
Estonia,55,5.893,1.23700,1.52800,0.87400,0.49500,0.10300,0.16100,58.595272,25.013607,15.9
Jamaica,56,5.890,0.83100,1.47800,0.83100,0.49000,0.10700,0.02800,18.109581,-77.297508,11.9
Mauritius,57,5.888,1.12000,1.40200,0.79800,0.49800,0.21500,0.06000,-20.348404,57.552152,11.5
Japan,58,5.886,1.32700,1.41900,1.08800,0.44500,0.06900,0.14000,36.204824,138.252924,14.1
Honduras,59,5.860,0.64200,1.23600,0.82800,0.50700,0.24600,0.07800,15.199999,-86.241905,13.5
Kazakhstan,60,5.809,1.17300,1.50800,0.72900,0.41000,0.14600,0.09600,48.019573,66.923684,19.2
Bolivia,61,5.779,0.77600,1.20900,0.70600,0.51100,0.13700,0.06400,-16.290154,-63.588653,10.5
Hungary,62,5.758,1.20100,1.41000,0.82800,0.19900,0.08100,0.02000,47.162494,19.503304,17.1
Paraguay,63,5.743,0.85500,1.47500,0.77700,0.51400,0.18400,0.08000,-23.442503,-58.443832,20.1
Peru,65,5.697,0.96000,1.27400,0.85400,0.45500,0.08300,0.02700,-9.189967,-75.015152,11.8
Portugal,66,5.693,1.22100,1.43100,0.99900,0.50800,0.04700,0.02500,39.399872,-8.224454,17.8
Pakistan,67,5.653,0.67700,0.88600,0.53500,0.31300,0.22000,0.09800,30.375321,69.345116,26.0
Russia,68,5.648,1.18300,1.45200,0.72600,0.33400,0.08200,0.03100,61.524010,105.318756,20.1
Philippines,69,5.631,0.80700,1.29300,0.65700,0.55800,0.11700,0.10700,12.879721,121.774017,19.9
Serbia,70,5.603,1.00400,1.38300,0.85400,0.28200,0.13700,0.03900,44.016521,21.005859,18.5
Moldova,71,5.529,0.68500,1.32800,0.73900,0.24500,0.18100,0.00000,47.411631,28.369885,22.8
Libya,72,5.525,1.04400,1.30300,0.67300,0.41600,0.13300,0.15200,26.335100,17.228331,26.4
Montenegro,73,5.523,1.05100,1.36100,0.87100,0.19700,0.14200,0.08000,42.708678,19.374390,14.8
Tajikistan,74,5.467,0.49300,1.09800,0.71800,0.38900,0.23000,0.14400,38.861034,71.276093,15.8
Croatia,75,5.432,1.15500,1.26600,0.91400,0.29600,0.11900,0.02200,45.100000,15.200000,15.0
Hong Kong,76,5.430,1.43800,1.27700,1.12200,0.44000,0.25800,0.28700,22.396428,114.109497,
Dominican Republic,77,5.425,1.01500,1.40100,0.77900,0.49700,0.11300,0.10100,18.735693,-70.162651,16.0
Bosnia and Herzegovina,78,5.386,0.94500,1.21200,0.84500,0.21200,0.26300,0.00600,43.915886,17.679076,13.4
Turkey,79,5.373,1.18300,1.36000,0.80800,0.19500,0.08300,0.10600,38.963745,35.243322,28.5
Malaysia,80,5.339,1.22100,1.17100,0.82800,0.50800,0.26000,0.02400,4.210484,101.975766,3.1
Belarus,81,5.323,1.06700,1.46500,0.78900,0.23500,0.09400,0.14200,53.709807,27.953389,15.2
Greece,82,5.287,1.18100,1.15600,0.99900,0.06700,0.00000,0.03400,39.074208,21.824312,15.9
Mongolia,83,5.285,0.94800,1.53100,0.66700,0.31700,0.23500,0.03800,46.862496,103.846656,21.9
Nigeria,85,5.265,0.69600,1.11100,0.24500,0.42600,0.21500,0.04100,9.081999,8.675277,25.5
Kyrgyzstan,86,5.261,0.55100,1.43800,0.72300,0.50800,0.30000,0.02300,41.204380,74.766098,24.0
Turkmenistan,87,5.247,1.05200,1.53800,0.65700,0.39400,0.24400,0.02800,38.969719,59.556278,17.8
