country,happinessscore,gdp,family,lifeexpectancy,freedom,generosity,trust,alcohol_liperyear
Brazil,6.300,1.00400,1.43900,0.80200,0.39000,0.09900,0.08600,19.3
Uruguay,6.293,1.12400,1.46500,0.89100,0.52300,0.12700,0.15000,15.7
Singapore,6.262,1.57200,1.46300,1.14100,0.55600,0.27100,0.45300,2.9
El Salvador,6.253,0.79400,1.24200,0.78900,0.43000,0.09300,0.07400,12.8
Italy,6.223,1.29400,1.48800,1.03900,0.23100,0.15800,0.03000,12.0
Bahrain,6.199,1.36200,1.36800,0.87100,0.53600,0.25500,0.11000,22.1
Slovakia,6.198,1.24600,1.50400,0.88100,0.33400,0.12100,0.01400,16.6
Poland,6.182,1.20600,1.43800,0.88400,0.48300,0.11700,0.05000,17.1
Uzbekistan,6.174,0.74500,1.52900,0.75600,0.63100,0.32200,0.24000,12.8
Lithuania,6.149,1.23800,1.51500,0.81800,0.29100,0.04300,0.04200,18.9
Colombia,6.125,0.98500,1.41000,0.84100,0.47000,0.09900,0.03400,15.2
Slovenia,6.118,1.25800,1.52300,0.95300,0.56400,0.14400,0.05700,17.7
Nicaragua,6.105,0.69400,1.32500,0.83500,0.43500,0.20000,0.12700,15.9
Argentina,6.086,1.09200,1.43200,0.88100,0.47100,0.06600,0.05000,14.6
Romania,6.070,1.16200,1.23200,0.82500,0.46200,0.08300,0.00500,18.8
Cyprus,6.046,1.26300,1.22300,1.04200,0.40600,0.19000,0.04100,15.6
Ecuador,6.028,0.91200,1.31200,0.86800,0.49800,0.12600,0.08700,9.5
Kuwait,6.021,1.50000,1.31900,0.80800,0.49300,0.14200,0.09700,1.0
Thailand,6.008,1.05000,1.40900,0.82800,0.55700,0.35900,0.02800,20.3
Latvia,5.940,1.18700,1.46500,0.81200,0.26400,0.07500,0.06400,17.2
South Korea,5.895,1.30100,1.21900,1.03600,0.15900,0.17500,0.05600,16.0
Estonia,5.893,1.23700,1.52800,0.87400,0.49500,0.10300,0.16100,15.9
Jamaica,5.890,0.83100,1.47800,0.83100,0.49000,0.10700,0.02800,11.9
Mauritius,5.888,1.12000,1.40200,0.79800,0.49800,0.21500,0.06000,11.5
Japan,5.886,1.32700,1.41900,1.08800,0.44500,0.06900,0.14000,14.1
Honduras,5.860,0.64200,1.23600,0.82800,0.50700,0.24600,0.07800,13.5
Kazakhstan,5.809,1.17300,1.50800,0.72900,0.41000,0.14600,0.09600,19.2
Bolivia,5.779,0.77600,1.20900,0.70600,0.51100,0.13700,0.06400,10.5
Hungary,5.758,1.20100,1.41000,0.82800,0.19900,0.08100,0.02000,17.1
Paraguay,5.743,0.85500,1.47500,0.77700,0.51400,0.18400,0.08000,20.1
Peru,5.697,0.96000,1.27400,0.85400,0.45500,0.08300,0.02700,11.8
Portugal,5.693,1.22100,1.43100,0.99900,0.50800,0.04700,0.02500,17.8
Pakistan,5.653,0.67700,0.88600,0.53500,0.31300,0.22000,0.09800,26.0
Russia,5.648,1.18300,1.45200,0.72600,0.33400,0.08200,0.03100,20.1
Philippines,5.631,0.80700,1.29300,0.65700,0.55800,0.11700,0.10700,19.9
Serbia,5.603,1.00400,1.38300,0.85400,0.28200,0.13700,0.03900,18.5
Moldova,5.529,0.68500,1.32800,0.73900,0.24500,0.18100,0.00000,22.8
Libya,5.525,1.04400,1.30300,0.67300,0.41600,0.13300,0.15200,26.4
