country,year,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,trust,generosity
Switzerland,2015,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678
Iceland,2015,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.43630
Denmark,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139
Norway,2015,4,7.522,1.45900,1.33095,0.88521,0.66973,0.36503,0.34699
Canada,2015,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811
Finland,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351
Netherlands,2015,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.47610
Sweden,2015,8,7.364,1.33171,1.28907,0.91087,0.65980,0.43844,0.36262
New Zealand,2015,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501
Australia,2015,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562
Israel,2015,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172
Costa Rica,2015,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497
Austria,2015,13,7.200,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088
Mexico,2015,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074
United States,2015,15,7.119,1.39451,1.24711,0.86179,0.54604,0.15890,0.40105
Brazil,2015,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574
Luxembourg,2015,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034
Ireland,2015,18,6.940,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901
Belgium,2015,19,6.937,1.30782,1.28566,0.89667,0.58450,0.22540,0.22250
United Kingdom,2015,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912
Oman,2015,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542
Venezuela,2015,23,6.810,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841
Singapore,2015,24,6.798,1.52186,1.02000,1.02525,0.54252,0.49210,0.31105
Panama,2015,25,6.786,1.06353,1.19850,0.79661,0.54210,0.09270,0.24434
Germany,2015,26,6.750,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214
Chile,2015,27,6.670,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363
Qatar,2015,28,6.611,1.69042,1.07860,0.79733,0.64040,0.52208,0.32573
France,2015,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332
Argentina,2015,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451
Czech Republic,2015,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686
Uruguay,2015,32,6.485,1.06166,1.20890,0.81160,0.60362,0.24558,0.23240
Colombia,2015,33,6.477,0.91861,1.24018,0.69077,0.53466,0.05120,0.18401
Thailand,2015,34,6.455,0.96690,1.26504,0.73850,0.55664,0.03187,0.57630
Saudi Arabia,2015,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706
Spain,2015,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227
Malta,2015,37,6.302,1.20740,1.30203,0.88721,0.60365,0.13586,0.51752
Taiwan,2015,38,6.298,1.29098,1.07617,0.87530,0.39740,0.08129,0.25376
Kuwait,2015,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228
Suriname,2015,40,6.269,0.99534,0.97200,0.60820,0.59657,0.13633,0.16991
Trinidad and Tobago,2015,41,6.168,1.21183,1.18354,0.61483,0.55884,0.01140,0.31844
El Salvador,2015,42,6.130,0.76454,1.02507,0.67737,0.40350,0.11776,0.10692
Guatemala,2015,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489
Uzbekistan,2015,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837
Slovakia,2015,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893
Japan,2015,46,5.987,1.27074,1.25712,0.99111,0.49615,0.18060,0.10705
South Korea,2015,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557
Ecuador,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.18090,0.11541
Bahrain,2015,49,5.960,1.32376,1.21624,0.74716,0.45492,0.30600,0.17362
Italy,2015,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823
Bolivia,2015,51,5.890,0.68133,0.97841,0.53920,0.57414,0.08800,0.20536
Moldova,2015,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951
Paraguay,2015,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.34240
Kazakhstan,2015,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827
Slovenia,2015,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328
Lithuania,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641
Nicaragua,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815
Peru,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982
Belarus,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.19090,0.11046
Poland,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759
Malaysia,2015,61,5.770,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075
Croatia,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.02430,0.05444
Libya,2015,63,5.754,1.13145,1.11862,0.70380,0.41668,0.11023,0.18295
Russia,2015,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199
Jamaica,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.21230
North Cyprus,2015,66,5.695,1.20806,1.07008,0.92356,0.49027,0.14280,0.26169
Cyprus,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638
Algeria,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822
Kosovo,2015,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.28310
Turkmenistan,2015,70,5.548,0.95847,1.22668,0.53886,0.47610,0.30844,0.16979
Mauritius,2015,71,5.477,1.00761,0.98521,0.70950,0.56066,0.07521,0.37744
Hong Kong,2015,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478
Estonia,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.08680
Indonesia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0.00000,0.51535
Vietnam,2015,75,5.360,0.63216,0.91226,0.74676,0.59444,0.10441,0.16860
Turkey,2015,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253
Kyrgyzstan,2015,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.30030
Nigeria,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.04030,0.27233
Bhutan,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998
Azerbaijan,2015,80,5.212,1.02389,0.93793,0.64045,0.37030,0.16065,0.07799
Pakistan,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671
Jordan,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053
Montenegro,2015,82,5.192,0.97438,0.90557,0.72521,0.18260,0.14296,0.16140
China,2015,84,5.140,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185
Zambia,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591
